Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
33952630,Sugar Money,Jane  Harris,"Harris, Jane",,0571336922,9780571336920,0,3.73,Faber & Faber,Hardcover,400,2017,2017,,2018/04/06,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
11486,The Color Purple,Alice Walker,"Walker, Alice",,,,0,4.23,Pocket,Paperback,295,2004,1982,,2018/04/06,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
30555488,The Underground Railroad,Colson Whitehead,"Whitehead, Colson",,0385542364,9780385542364,0,4.03,Doubleday Books,Hardcover,306,2016,2016,,2018/04/06,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
10054335,Rules of Civility,Amor Towles,"Towles, Amor",,,,0,4.04,Viking Adult,Hardcover,335,2011,2011,,2018/04/06,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
148639,Waterland,Graham Swift,"Swift, Graham",,0330336320,9780330336321,0,3.92,MacMillan,Paperback,368,1997,1983,,2018/04/06,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
6149,Beloved,Toni Morrison,"Morrison, Toni",,1400033411,9781400033416,4,3.88,Vintage,Paperback,324,2004,1987,2018/04/05,2018/03/25,,,read,,,,1,,,0,,,,,
46456,The Women's Room,Marilyn French,"French, Marilyn",,1860492827,9781860492822,0,3.96,Little Brown and Company,Paperback,526,1997,1977,,2018/04/04,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,,,5,4.19,Signet,Mass Market Paperback,325,1963,1962,2018/03/24,2017/11/24,,,read,,,,1,,,0,,,,,
633501,The Distracted Preacher and Other Tales,Thomas Hardy,"Hardy, Thomas",Susan         Hill,0140431241,9780140431247,0,3.92,Penguin Classics,Paperback,368,1979,1897,,2018/03/27,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Richard Howard, Ivan Minatti, Nguyễn Thành Vũ",,,0,4.31,"Harcourt, Inc.",Paperback,93,2000,1943,,2018/03/25,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,,,0,3.99,Vintage International,Paperback,123,1989,1942,,2018/03/25,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
28446947,"Autumn (Seasonal, #1)",Ali Smith,"Smith, Ali",,0241207002,9780241207000,3,3.71,Hamish Hamilton,Hardcover,264,2016,2016,,2018/03/01,,,read,,,,1,,,0,,,,,
25328389,The Convictions of John Delahunt,Andrew   Hughes,"Hughes, Andrew",,1605987948,9781605987941,5,3.71,Pegasus Books,Hardcover,352,2015,2011,,2018/02/17,,,read,,,,1,,,0,,,,,
26014651,Mothering Sunday,Graham Swift,"Swift, Graham",,1101947527,9781101947524,4,3.71,Alfred A. Knopf,Hardcover,177,2016,2016,2018/01/28,2017/12/28,,,read,,,,1,,,0,,,,,
35437614,Lullaby,Leïla Slimani,"Slimani, Leïla",Sam Taylor,0571337554,9780571337552,4,3.40,Faber & Faber,ebook,256,2018,2016,2018/02/04,2018/01/28,,,read,,,,1,,,0,,,,,
25104465,Tipping the Velvet,Sarah Waters,"Waters, Sarah",,,,3,4.02,"Riverhead Books, U.S.",Paperback,472,2000,1998,2018/01/16,2018/01/17,,,read,,,,1,,,0,,,,,
59551,Up at the Villa,W. Somerset Maugham,"Maugham, W. Somerset",,0099478323,9780099478324,0,3.70,Vintage Classics,Paperback,120,2004,1941,,2017/12/28,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
343,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,0140120831,9780140120837,4,4.02,Penguin Books,Paperback,263,1987,1985,2017/12/28,2017/11/24,,,read,,,,1,,,0,,,,,
13588356,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,"Brown, Brené",,1592407331,9781592407330,4,4.26,Avery,Hardcover,287,2012,2012,2017/12/09,2017/11/24,,,read,,,,1,,,0,,,,,
5344,Hard Times,Charles Dickens,"Dickens, Charles",,0321107217,9780321107213,0,3.53,Pearson Longman,Paperback,353,2003,1854,,2017/11/28,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah     Smith,,,4,3.59,Hogarth Press,Hardcover,188,2016,2007,,2017/11/28,,,read,,,,1,,,0,,,,,
1503626,The Sealed Letter,Emma Donoghue,"Donoghue, Emma",Charlotte Strevens,1554680360,9781554680368,5,3.34,HarperCollins Canada,Unknown Binding,397,2008,2008,,2017/11/24,,,read,,,,1,,,0,,,,,
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",Richard Maxwell,0141439602,9780141439600,5,3.85,Penguin Books,Paperback,489,2003,1859,2017/11/24,2012/08/25,,,read,,,,1,,,0,,,,,
10223697,The Summer Without Men,Siri Hustvedt,"Hustvedt, Siri",,0312570600,9780312570606,3,3.42,Picador,Paperback,182,2011,2011,2017/04/10,2017/04/10,,,read,,,,1,,,0,,,,,
823189,Captain Corelli's Mandolin,Louis de Bernières,"Bernières, Louis de","Robert Powell, Katie Hims",0563381930,9780563381938,0,3.99,BBC Worldwide Limited,Audio Cassette,4,1997,1994,,2016/08/31,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
84573,Frenchman's Creek,Daphne du Maurier,"Maurier, Daphne du",Julie Myerson,1844080412,9781844080410,3,3.95,Time Warner Books UK,Paperback,260,2003,1941,2016/10/10,2016/08/24,,,read,,,,1,,,0,,,,,
50727,"Don't Tell Alfred (Radlett & Montdore, #3)",Nancy Mitford,"Mitford, Nancy",,0881845973,9780881845976,3,3.57,Da Capo Press,Paperback,223,1993,1960,2016/08/23,2015/04/11,,,read,,,,1,,,0,,,,,
13586707,My Brilliant Friend (L'amica geniale #1),Elena Ferrante,"Ferrante, Elena",Ann Goldstein,,,4,3.96,Europa Editions,Paperback,331,2012,2011,2016/07/11,2016/04/16,,,read,,,,1,,,0,,,,,
994081,Love in Idleness,Charlotte Mendelson,"Mendelson, Charlotte",,033048298X,9780330482981,0,3.23,Picador USA,Paperback,256,2013,2001,,2016/04/17,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
1192084,Daughters of Jerusalem,Charlotte Mendelson,"Mendelson, Charlotte",,0330482785,9780330482783,3,3.38,Picador,Paperback,,2004,2004,2016/04/16,2015/11/06,,,read,,,,1,,,0,,,,,
212615,The Observations,Jane  Harris,"Harris, Jane",,0670037737,9780670037735,4,3.62,Viking Books,Hardcover,406,2006,2006,2016/04/08,2015/11/04,,,read,,,,1,,,0,,,,,
17333319,Burial Rites,Hannah Kent,"Kent, Hannah",,0316243914,9780316243919,0,4.01,"Little, Brown and Company",Hardcover,336,2013,2013,,2016/01/17,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,1594633665,9781594633669,3,3.93,Riverhead Books,Hardcover,325,2015,2015,2016/01/17,2016/01/17,,,read,,,,1,,,0,,,,,
10785670,Gillespie and I,Jane  Harris,"Harris, Jane",,0571275168,9780571275168,5,3.83,Faber & Faber,Hardcover,504,2011,2011,2016/01/08,2015/11/06,,,read,,,,1,,,0,,,,,
24716642,The Winter War,Philip Teir,"Teir, Philip",Tiina Nunnally,1781254885,9781781254882,4,3.21,Serpent's Tail,Hardcover,298,2015,2013,2015/12/26,2015/12/26,,,read,,,,1,,,0,,,,,
51827,Alias Grace,Margaret Atwood,"Atwood, Margaret",,0385490445,9780385490443,0,4.03,Anchor Books,Paperback,468,1997,1996,,2015/11/04,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
28940,Behind the Scenes at the Museum,Kate Atkinson,"Atkinson, Kate",,0312150601,9780312150600,0,3.96,Picador USA,Paperback,336,1999,1995,,2015/11/02,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
15790842,"Life After Life (Todd Family, #1)",Kate Atkinson,"Atkinson, Kate",,0316176486,9780316176484,5,3.76,Reagan Arthur Books,Hardcover,531,2013,2013,2015/11/02,2015/11/02,,,read,,,,1,,,0,,,,,
32049,Lady Chatterley's Lover,D.H. Lawrence,"Lawrence, D.H.",,039460430X,9780394604305,3,3.51,Modern Library,Hardcover,376,1983,1923,2015/10/21,2015/10/21,,,read,,,,1,,,0,,,,,
275570,The Royal Physician's Visit,Per Olov Enquist,"Enquist, Per Olov",Tiina Nunnally,0743458036,9780743458030,0,3.83,Washington Square Press,Paperback,412,2002,1999,,2015/09/27,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
18214414,"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,"Galbraith, Robert",,0316206873,9780316206877,4,4.04,Mulholland Books,Hardcover,456,2014,2014,2015/07/15,2015/04/11,,,read,,,,1,,,0,,,,,
6515169,The Brickfield,L.P. Hartley,"Hartley, L.P.",,1843914573,9781843914570,3,3.49,Hesperus Press,Paperback,216,2010,1964,2015/07/10,2014/07/30,,,read,,,,1,,,0,,,,,
18498569,The Miniaturist,Jessie Burton,"Burton, Jessie",,0062306812,9780062306814,2,3.60,Ecco Press,Hardcover,400,2014,2014,2015/05/01,2015/04/11,,,read,,,,1,,,0,,,,,
20697435,The Book of Strange New Things,Michel Faber,"Faber, Michel",,055341884X,9780553418842,3,3.67,Hogarth,Hardcover,500,2014,2014,2015/07/07,2015/04/11,,,read,,,,1,,,0,,,,,
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,030727103X,9780307271037,5,3.53,Alfred A. Knopf,Hardcover,317,2015,2015,2015/04/17,2015/04/11,,,read,,,,1,,,0,,,,,
29044,The Secret History,Donna Tartt,"Tartt, Donna",,1400031702,9781400031702,4,4.10,Vintage,Paperback,559,2004,1992,2015/04/10,2015/04/11,,,read,,,,1,,,0,,,,,
153530,The Blessing,Nancy Mitford,"Mitford, Nancy",,0786705213,9780786705214,3,3.79,Carroll & Graf Publishers,Paperback,221,1998,1951,2015/04/02,2015/04/02,,,read,,,,1,,,0,,,,,
3419681,"The Glass of Time (The Meaning of Night, #2)",Michael Cox,"Cox, Michael",,0393067734,9780393067736,4,3.99,W. W. Norton  Company,Hardcover,586,2008,2008,2015/03/08,2014/12/29,,,read,,,,1,,,0,,,,,
20821087,The Paying Guests,Sarah Waters,"Waters, Sarah",,1594633118,9781594633119,4,3.44,Riverhead Books,Hardcover,564,2014,2014,2015/02/15,2015/01/03,,,read,,,,1,,,0,,,,,
177076,"The Meaning of Night (The Meaning of Night, #1)",Michael Cox,"Cox, Michael",,0393062031,9780393062038,5,3.71,W. W. Norton  Company,Hardcover,703,2006,2006,2014/12/29,2013/12/26,,,read,,,,1,,,0,,,,,
387348,The Group,Mary McCarthy,"McCarthy, Mary",,0156372088,9780156372084,4,3.66,Mariner Books,Paperback,496,1991,1963,2014/08/05,2014/07/25,,,read,,,,1,,,0,,,,,
372811,"Love in a Cold Climate (Radlett & Montdore, #2)",Nancy Mitford,"Mitford, Nancy",,0140009841,9780140009842,4,3.80,Penguin,Paperback,249,1999,1949,2014/12/19,2014/08/14,,,read,,,,1,,,0,,,,,
220331,Jean de Florette & Manon of the Springs (Two Novels),Marcel Pagnol,"Pagnol, Marcel",W.E. van Heyningen,0865473129,9780865473126,0,4.32,North Point Press,Paperback,448,1988,1963,,2014/08/22,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
13258,What Was She Thinking? [Notes on a Scandal],Zoë Heller,"Heller, Zoë",,0312421990,9780312421991,4,3.72,Picador,Paperback,258,2004,2003,2014/08/15,2014/08/15,,,read,,,,1,,,0,,,,,
99664,The Painted Veil,W. Somerset Maugham,"Maugham, W. Somerset",,0307277771,9780307277770,5,3.94,Vintage,Paperback,246,2006,1925,2014/08/12,2012/08/25,,,read,,,,1,,,0,,,,,
835458,"The Pursuit of Love (Radlett & Montdore, #1)",Nancy Mitford,"Mitford, Nancy",,0140007113,9780140007114,5,3.94,Penguin Books Limited,Paperback,192,1999,1945,2014/08/10,2014/07/30,,,read,,,,1,,,0,,,,,
6326668,A Perfect Woman,L.P. Hartley,"Hartley, L.P.",,086220514X,9780862205140,4,3.54,Chivers Press,Hardcover,319,1983,1955,2014/07/25,2013/07/30,,,read,,,,1,,,0,,,,,
1560981,My Fellow Devils,L.P. Hartley,"Hartley, L.P.",,,,0,2.94,,,,,2013,,2014/06/08,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
50798,Jude the Obscure,Thomas Hardy,"Hardy, Thomas","Patricia Ingham, Dennis Taylor, Jenny Sterlin, Mark Oxford, James Oliver Smith Jr.",0486452433,9780486452432,4,3.81,Dover Publications,Paperback,310,2006,1895,,2012/08/25,,,read,,,,1,,,0,,,,,
